Number,SAT,Pairs,Evals,Backtracks,Runtime
1,True,27,57,27,26.074668884277344
2,True,29,9,2,16.263989210128784
3,True,28,31,13,21.036362886428833
4,True,28,11,3,16.65448808670044
5,True,30,66,30,28.499680995941162
6,True,27,115,56,48.10360407829285
7,True,27,30,13,23.172200441360474
8,True,29,16,5,17.494227409362793
9,True,27,30,13,25.06943368911743
10,True,27,30,13,28.623215675354004
11,True,31,192,94,55.92591166496277
12,True,28,65,31,32.4070565700531
13,True,28,1125,559,151.840167760849
14,True,26,8,2,17.18638515472412
15,True,26,8,3,17.806999921798706
16,True,28,2,0,16.20620846748352
17,True,28,2,0,16.49399495124817
18,True,27,21,10,21.06004500389099
19,True,27,16,7,18.881619691848755
20,True,29,601,297,133.14036464691162
21,True,28,35,15,22.546517610549927
22,True,32,7,2,17.415198802947998
23,True,26,10,4,17.298070907592773
24,True,28,14,6,18.489416360855103
25,True,29,12,5,20.38311195373535
26,True,27,1,0,16.470555067062378
27,True,32,141,69,41.288589000701904
28,True,27,1,0,16.538952589035034
29,True,29,13,6,18.254397869110107
30,True,32,140,67,45.818275690078735
