Number,SAT,Pairs,Evals,Backtracks,Runtime
1,True,40,4,1,13.711612224578857
2,True,44,15,6,11.503726243972778
3,True,41,34,15,13.188437938690186
4,True,45,5,1,10.062642812728882
5,True,44,6,2,10.13952898979187
6,True,45,12,5,11.252685785293579
7,True,48,21,9,17.05715584754944
8,True,43,16,6,11.562769174575806
9,True,45,6,2,10.44038701057434
10,True,46,9,3,10.474008083343506
11,True,44,15,5,10.979558944702148
12,True,43,14,6,11.624857902526855
13,True,49,22,8,11.507149934768677
14,True,43,20,8,12.548963069915771
15,True,50,32,13,13.500402927398682
16,True,46,37,18,13.985748052597046
17,True,44,15,5,11.313183069229126
18,True,47,17,6,11.785404920578003
19,True,49,10,4,10.875164031982422
20,True,45,38,18,12.07435393333435
21,True,42,45,20,14.451471090316772
22,True,48,9,3,11.276542901992798
23,True,47,9,2,10.366722822189331
24,True,50,21,8,10.611711025238037
25,True,46,17,7,10.86867094039917
26,True,44,14,6,11.673571109771729
27,True,43,25,11,12.40475583076477
28,True,49,16,6,10.926860094070435
29,True,47,4,0,9.868165016174316
30,True,52,8,3,10.341880083084106
31,True,46,9,4,10.5691499710083
32,True,45,10,4,10.90553092956543
33,True,52,60,27,12.744922161102295
34,True,41,16,5,10.70465898513794
35,True,46,55,27,14.813898086547852
36,True,46,47,22,14.651308059692383
37,True,40,4,0,9.81172490119934
38,True,42,7,0,9.836079120635986
39,True,44,24,10,13.395339965820312
40,True,45,16,7,12.437318086624146
41,True,46,6,1,10.499708890914917
42,True,46,11,4,10.984169006347656
43,True,44,9,2,10.664206743240356
44,True,45,57,27,16.329030752182007
45,True,42,19,9,11.674140930175781
46,True,41,2,0,10.16041874885559
47,True,45,6,1,10.43833327293396
48,True,45,25,11,12.179630279541016
49,True,41,26,11,12.559492826461792
50,True,43,43,18,12.752656936645508
51,True,44,4,0,9.976120710372925
52,True,47,66,31,15.051123857498169
53,True,45,2,0,10.172201871871948
54,True,40,5,0,10.027036190032959
55,True,41,3,0,9.932981014251709
56,True,40,10,4,10.785140991210938
57,True,43,12,4,10.349424839019775
58,True,42,13,5,10.934268951416016
59,True,51,19,8,11.277841091156006
60,True,28,27,13,12.215348243713379
61,True,44,4,0,12.313553094863892
62,True,43,15,6,22.90464210510254
63,True,43,37,17,13.650002002716064
64,True,43,39,17,11.897418975830078
65,True,44,24,10,10.596285104751587
66,True,43,21,10,9.93054986000061
67,True,44,30,13,10.592896938323975
68,True,45,42,19,11.220332860946655
69,True,45,51,24,18.855729341506958
70,True,39,14,5,15.614110231399536
71,True,44,38,18,14.924472093582153
72,True,43,30,13,17.575443983078003
73,True,47,17,7,11.087410926818848
74,True,45,11,3,13.532963991165161
75,True,52,4,0,10.683364152908325
76,True,49,14,5,10.96889328956604
77,True,42,39,18,13.58987021446228
78,True,45,45,21,12.125483989715576
79,True,30,54,24,14.022366046905518
80,True,47,14,5,9.718852043151855
81,True,42,9,3,10.896724939346313
82,True,43,48,23,14.632426977157593
83,True,49,27,12,10.14795708656311
