Sudoku 1 : True     Pairs: 27       evals: 70       backtracks: 32       Time: 26.0176
Sudoku 2 : True     Pairs: 29       evals: 10       backtracks: 3       Time: 17.2907
Sudoku 3 : True     Pairs: 28       evals: 3       backtracks: 1       Time: 16.4777
Sudoku 4 : True     Pairs: 28       evals: 3       backtracks: 1       Time: 14.8695
Sudoku 5 : True     Pairs: 30       evals: 4       backtracks: 1       Time: 16.5415
Sudoku 6 : True     Pairs: 27       evals: 6       backtracks: 2       Time: 16.9640
Sudoku 7 : True     Pairs: 27       evals: 12       backtracks: 5       Time: 16.5976
Sudoku 8 : True     Pairs: 29       evals: 3       backtracks: 1       Time: 16.1642
Sudoku 9 : True     Pairs: 27       evals: 15       backtracks: 7       Time: 16.3387
Sudoku 10 : True     Pairs: 27       evals: 6       backtracks: 2       Time: 15.3627
Sudoku 11 : True     Pairs: 31       evals: 9       backtracks: 2       Time: 14.6225
Sudoku 12 : True     Pairs: 28       evals: 13       backtracks: 5       Time: 15.7374
Sudoku 13 : True     Pairs: 28       evals: 273       backtracks: 136       Time: 47.9950
Sudoku 14 : True     Pairs: 26       evals: 22       backtracks: 8       Time: 22.1615
Sudoku 15 : True     Pairs: 26       evals: 35       backtracks: 15       Time: 24.5432
Sudoku 16 : True     Pairs: 28       evals: 24       backtracks: 10       Time: 17.9698
Sudoku 17 : True     Pairs: 28       evals: 5       backtracks: 2       Time: 15.4698
Sudoku 18 : True     Pairs: 27       evals: 7       backtracks: 2       Time: 15.7510
Sudoku 19 : True     Pairs: 27       evals: 6       backtracks: 2       Time: 15.9385
Sudoku 20 : True     Pairs: 29       evals: 24       backtracks: 10       Time: 21.7512
Sudoku 21 : True     Pairs: 28       evals: 7       backtracks: 1       Time: 16.7980
Sudoku 22 : True     Pairs: 32       evals: 6       backtracks: 1       Time: 18.8461
Sudoku 23 : True     Pairs: 26       evals: 15       backtracks: 6       Time: 17.1105
Sudoku 24 : True     Pairs: 28       evals: 29       backtracks: 12       Time: 18.2511
Sudoku 25 : True     Pairs: 29       evals: 12       backtracks: 5       Time: 23.7325
Sudoku 26 : True     Pairs: 27       evals: 1       backtracks: 0       Time: 15.6913
Sudoku 27 : True     Pairs: 32       evals: 6       backtracks: 1       Time: 20.6610
Sudoku 28 : True     Pairs: 27       evals: 1       backtracks: 0       Time: 15.0399
Sudoku 29 : True     Pairs: 29       evals: 5       backtracks: 2       Time: 18.1229
Sudoku 30 : True     Pairs: 32       evals: 9       backtracks: 2       Time: 20.8310
Sudoku 31 : True     Pairs: 28       evals: 3       backtracks: 0       Time: 21.6233
Sudoku 32 : True     Pairs: 30       evals: 7       backtracks: 2       Time: 20.0036
Sudoku 33 : True     Pairs: 29       evals: 6       backtracks: 1       Time: 15.9482
Sudoku 34 : True     Pairs: 29       evals: 13       backtracks: 3       Time: 22.0052
Sudoku 35 : True     Pairs: 28       evals: 8       backtracks: 2       Time: 20.0693
