Number,SAT,Pairs,Evals,Backtracks,Runtime
1,True,27,70,32,26.017616033554077
2,True,29,10,3,17.290691614151
3,True,28,3,1,16.47768545150757
4,True,28,3,1,14.869505882263184
5,True,30,4,1,16.541516304016113
6,True,27,6,2,16.96399235725403
7,True,27,12,5,16.5976402759552
8,True,29,3,1,16.164162635803223
9,True,27,15,7,16.338685512542725
10,True,27,6,2,15.362687110900879
11,True,31,9,2,14.62247633934021
12,True,28,13,5,15.737430572509766
13,True,28,273,136,47.99495887756348
14,True,26,22,8,22.161497831344604
15,True,26,35,15,24.54323720932007
16,True,28,24,10,17.969806671142578
17,True,28,5,2,15.469757080078125
18,True,27,7,2,15.750972509384155
19,True,27,6,2,15.93847107887268
20,True,29,24,10,21.751204252243042
21,True,28,7,1,16.797951459884644
22,True,32,6,1,18.846107959747314
23,True,26,15,6,17.110474348068237
24,True,28,29,12,18.251118183135986
25,True,29,12,5,23.73253107070923
26,True,27,1,0,15.69127631187439
27,True,32,6,1,20.660950899124146
28,True,27,1,0,15.039854049682617
29,True,29,5,2,18.122907161712646
30,True,32,9,2,20.830973625183105
31,True,28,3,0,21.623255491256714
32,True,30,7,2,20.003573417663574
33,True,29,6,1,15.94820523262024
34,True,29,13,3,22.0051748752594
35,True,28,8,2,20.069292545318604
